"Add","Añadir"
"Allow Gift Messages for Order Items","Permitir mensajes del regalo para itéms del pedido"
"Allow Gift Messages on Order Level","Permitir mensajes del regalo en Nivel Pedido"
"Are you sure?","¿Está usted seguro?"
"Cancel","Cancelar"
"Do you have any gift items in your order?","¿Tiene un artículo de regalo en su pedido?"
"Edit","Editar"
"From","De"
"Gift Message","Mensaje del Regalo"
"Item %d of %d","Item %d de %d"
"Message","Mensaje"
"Save Gift Message","Grabar Mensaje del Regalo"
"To","a"
"Unknown entity type","Tipo de entidad desconocida"
"Use config","Usar configuración"
"Yes","Si"
