"-- Please Select --","Elegir"
"Are you sure you want to do this?","Está seguro que quiere hacer eso?"
"Back","Atrás"
"CSV","csv"
"Country","País"
"Customer Tax Class","Impuesto al Cliente"
"Customer Tax Class Information","Información de Impuesto Clase Cliente"
"Delete Rule","Eliminar Regla"
"Edit Rule","Editar Regla"
"Name","Nombre"
"New Rule","Nueva Regla"
"None","Ninguno"
"Priority","Prioridad"
"Product Tax Class","Clase de impuesto de producto"
"Product Tax Class Information","Información del Producto Clase de Impuesto"
"Rate","Tasa"
"Reset","Resetear"
"Save Rule","Guardar Regla"
"Sort Order","Ordenar por tipo"
"Tax","Impuestos"
"This rule no longer exists","Esta regla ya no existe"
"Unit Price","Precio Unidad"
"Yes","Si"
"Zip/Post Code","Postcode/Zip"
