"Add Recipient","Añadir Destinatario"
"Allow for Guests","Permitir a Invitados"
"Back","Atrás"
"Email Address","Correo Electrónico"
"Email to a Friend","Envíar a un amigo"
"Enabled","Habilitado"
"Limit Sending By","Limitar Enviado por"
"Max Products Sent in 1 Hour","Max de Productos envíados en 1 hora"
"Max Recipients","Max Destiantarios"
"Maximum %d email addresses allowed.","Máximo %d correos electrónicos permitidos."
"Message:","Mensaje:"
"Name","Nombre"
"Recipient:","Destinatario:"
"Remove Email","Retirar Correo"
"Send product to a friend","Envíar Producto a un amigo"
"Sender:","Remitente:"
