"2Day","2 Dias"
"2nd Day Air AM","Via aérea el 2Día AM"
"3 Day Select","Elegir 3 dias"
"Commercial","Comercial"
"Enable","Habilitar"
"Express Mail","Correo express"
"First Overnight","De la noche a la mañana"
"Google API","API Google"
"Ground","Tierra"
"Home Delivery","Entrega en casa"
"Next Day Air Saver","Vía aérea económica al siguiente dia"
"Priority Mail","Correo prioritario"
"Priority Overnight","Prioridad de la noche a la mañana"
"Residential","Residencial"
"Standard Overnight","Standard de la noche a la mañana"
"Title","Titulo"
"United Kingdom","Reino Unido"
"United States","Estados Unidos"
"Yes","Si"
"You will be redirected to GoogleCheckout in a few seconds.","You will be redirected to Google Checkout in a few seconds."
