"Actions","Acciones"
"Active","Activo"
"Add New Rule","Agregar Nueva Regla"
"Apply","Aplicar"
"Apply To","Aplica A"
"By Fixed value","Por valor fijo"
"By Percentage","Por Porcentaje"
"Catalog","Catálogo"
"Conditions","Condiciones"
"Conditions combination","Combinación de Condiciones
Special price,Precio Especial"
"Coupon Code","Código de cupón"
"Customer Groups","Grupos de Clientes"
"Date Expire","Expira Fecha"
"Date Start","Fecha Inicio"
"Description","Descripción"
"Edit Rule","Editar Regla"
"Edit Rule '%s'","Editar Regla '%s'"
"From Date","Desde la Fecha"
"General Information","Información general"
"Generate","Generar"
"Inactive","Inactivo"
"NOT LOGGED IN","NO HA INICIADO SESIÓN"
"New Rule","Nueva Regla"
"Number of Uses","Número de usos"
"Payment Method","Método de pago"
"Price in cart","Precio en el Carro"
"Priority","Prioridad"
"Product attribute combination","Combinación de Atributos de Producto"
"Promotions","Promociones"
"Quantity in cart","Cantidad en el Carro"
"Row total in cart","Filas totales en el carro"
"Rule Information","Información de Regla"
"Rule Name","Nombre de Regla"
"Shipping Method","Método de Envío"
"Status","Estado"
"To Date","A Fecha"
"To Fixed Value","A Valor Fijo"
"To Percentage","A Porcentaje"
"Update product's %s %s: %s","Actualizar producto %s %s: %s"
"Update the Product","Actualizar el Producto"
"Website","Sitio Web"
"Yes","Si"
