"Add","Añadir"
"Add New Role","Añadir Nuevo Rol"
"Assigned","Asignada"
"Attribute Set","Attribute Conjunto"
"Attributes","Características"
"Back","Atrás"
"Backorders","Pedidos Pendientes"
"Catalog","Catálogo"
"City","Ciudad"
"Company","Compañía"
"Country","País"
"Coupon Code","Código de cupón"
"Create","Crear"
"Customer","Cliente"
"Delete","Borrar"
"Discount","Descuento"
"Edit","Editar"
"Edit Role","Editar Rol"
"Email","Correo"
"First Name","Nombre"
"Gift Message","Mensaje del Regalo"
"Grand Total","Total"
"Guest","Invitado"
"Label","Etiqueta"
"Last Name","Apellido"
"Manage Stock","Administrar Inventario"
"Maximum Qty Allowed in Shopping Cart","Máxima Cantidad permitido en el carro de compra"
"Minimum Qty Allowed in Shopping Cart","Mínima Cantidad permitida en el carro de compra"
"Notify for Quantity Below","Notifique Baja Cantidad"
"Order Status","Estado del Pedido"
"Orders","Pedidos"
"Payment Method","Método de pago"
"Position","Posición"
"Price","Precio"
"Product","Producto"
"Product Type","Tipo de Producto"
"Qty","Cant."
"Qty Uses Decimals","Cantidad Usa Decimales"
"Role Info","Información del Rol"
"Role Information","Información de rol"
"Role Name","Nombre del rol"
"Role Users","Rol de usuarios"
"Roles","Reglas"
"Save","Guardar"
"Shipping Amount","Cantidad Despachada"
"Shipping Method","Método de Envío"
"Stock Availability","Existencia Disponible"
"System","Sistema"
"Tax Amount","Monto del Impuesto"
"Type","Tipo"
