"Add Option","Añadir Opcion"
"Attempt to add an invalid object","Intentando añadir un objeto incorrecto"
"Attribute Code","Atributo Código"
"Attribute Label","Atributo Etiqueta"
"Attribute Properties","Atributo Propiedades"
"Attribute with the same code","Atributo con el mismo código"
"Catalog Input Type for Store Owner","Catálogo Tipo de Entrada para el Propietario de la Tienda"
"Data integrity: No header row found for attribute","Integridad de datos: No se encontró cabecera para el atributo"
"Date","Fecha"
"Default Value","Valor Predeterminado"
"Default option value is not defined","La opción por defecto no está defedinida"
"Delete","Borrar"
"Dropdown","Desplegable"
"Email","Correo"
"Entity is not initialized","Entidad no inicializada"
"Frontend label is not defined","La etiqueta de frontend no está definida"
"Input Validation for Store Owner","Validación de entrada por Propietario de la Tienda"
"Integer Number","Número Entero"
"Invalid attribute name: %s","Nombre de atributo invalido: %s"
"Invalid attribute requested: %s","Petición de atributo invalido: %s"
"Invalid attribute type","Tipo de atributo invalido"
"Invalid character encountered in increment ID: %s","Caracter invalido encontrado en el incremento de ID: %s"
"Invalid entity specified","Entidad invalida especificada"
"Invalid entity supplied: %s","Entidad invalida suministrada: %s"
"Invalid entity type","Tipo de Entidad invalido"
"Invalid entity_type specified: %s","entity_type especificado invalido: %s"
"Invalid foreign key","Clave foranea invalida"
"Invalid store specified","Tienda especificada no válida"
"Joined field with this alias is already declared","La unión del campo con el alias ya está declarada"
"Letters","Letras"
"Loaded %d records","Cargado %d registros"
"Multiple Select","Seleccion Multiple"
"No options found in config node %s","No se encuentran opciones en la configuración del nodo %s"
"None","Ninguno"
"Not shared with other products","No se comparte con otros productos"
"Problem loading the collection, aborting. Error: %s","Problema al cargar la colección, abortando. Error: %s"
"Problem saving the collection, aborting. Error: %s","Problema al guardar la colección, abortando. Error: %s"
"Required","Obligatorio"
"System","Sistema"
"Text Area","Area de Texto"
"Text Field","Campo Texto"
"Unique Value","Valor Unico"
"Unique Value (not shared with other products)","Valor Unico (no compartido con otros productos)"
"Unknown parameter","Parámetro desconocido"
"Values Required","Valores Requeridos"
"Wrong attribute group ID","ID de grupo de atributos erróneo"
"Wrong attribute set ID","ID de conjunto de atributos erroneo"
"Wrong entity ID","ID de entidad erróneo"
"Yes","Si"
"Yes/No","Si/No"
