"Add","Añadir"
"Add New Row","Añadir Nueva Fila"
"An error occurred while saving the file(s).","Ocurrió un error cuando se grababa el archivo(s)."
"Availability:","Disponibilidad:"
"Back","Atrás"
"Canceled","Cancelado"
"Category API","Categoría API"
"Date","Fecha"
"Default Link Title","Título del enlace por defecto"
"Default Maximum Number of Downloads","Máximo número de descargas por defecto"
"Default Sample Title","Título de muestra por defecto"
"Delete","Borrar"
"Downloadable Information","Información para Descargar"
"Downloadable Product","Producto para Descarga"
"Downloadable Product Options","Opciones de Producto para descarga"
"Edit","Editar"
"File","Archivo"
"From:","De:"
"Gift Message","Mensaje del Regalo"
"Go to <a href=""%s"">My Downloadable Products</a>","Ir a <a href=""%s"">Mis productos para descargar</a>"
"In stock","En existencia"
"Invoiced","Facturado"
"Links can be purchased separately","Los enlaces pueden ser comprados por separado"
"List","Lista"
"Max. Downloads","Descargas Max."
"Message:","Mensaje:"
"Move","Mover"
"My Downloadable Products","Mis Productos para descargar"
"Open Links in New Window","Abrir enlaces en nueva ventana"
"Ordered","Pedido"
"Out of stock","Sin existencia"
"Pending","Pendiente"
"Please log in to download your product.","Por favor ingrese al sitio para descargar su producto."
"Please specify product link(s).","Por favor especifique enlace(s) del producto."
"Price","Precio"
"Qty","Cant."
"Remaining Downloads","Esperando Descarga"
"Remove","Remover"
"Remove Item","Eliminar Artículo"
"Sample","Muestra"
"Shareable","Compartido"
"Shipped","Despachado"
"Sort Order","Ordenar por tipo"
"Start Download","Comenzar Descarga"
"Status","Estado"
"Title","Titulo"
"To:","A:"
"Unlimited","Ilimitado"
"View Order","Ver pedido"
"You have not purchased any downloadable products yet.","Usted no ha comprado ningún producto descargables todavía."
"attachment","adjunto"
"download","descarga"
"inline","en línea"
"sample","muestra"
