"Catalog","Catálogo"
"Click for price","Haga click para ver precio"
"Coupons/Discounts","Cupones/descuentos"
"Customer Order Status Notification","Notificación de estado de pedido del cliente"
"Discount","Descuento"
"Discount (%s)","Descuento (%s)"
"Enable RSS","Activar RSS"
"From:","De:"
"Get Feed","Obtener fuente"
"Gift Message","Mensaje de regalo"
"Grand Total","Total"
"Low Stock Products","Artículos con baja cantidad en inventario"
"Message:","Mensaje:"
"Miscellaneous Feeds","Fuentes varias"
"New Orders","Nuevos pedidos"
"New Products","Nuevos Productos"
"Order","Encargar"
"Pending product review(s)","Reseñas pendientes para el artículo"
"RSS Feeds","Fuentes RSS"
"RSS Feeds Section","Sección de fuentes RSS"
"Rss Config","Configuración de RSS"
"Shipping &amp; Handling","Envío y preparación"
"Special Products","Artículos especiales"
"Tax","Impuesto"
"To:","Para:"
"Top Level Category","Categoría de nivel superior"
"Wishlist","Lista de deseos"
