"Add New Rating","Agregar nueva puntuación"
"Assigned Options","Opciones asignadas"
"Be the first to review this product","Sea el primero en dejar una reseña para este artículo"
"Default Value","Valor predeterminado"
"Delete Rating","Eliminar puntuación"
"ID","Número de Identificación (ID)"
"New Rating","Nueva puntuación"
"Option Title","Título de opciones"
"Option Title:","Título de opciones:"
"Rating Information","Información sobre la puntuación"
"Rating Title","Visibilidad de la puntuación"
"Rating Visibility","Visibilidad de la puntuación"
"Rating isn't Available","La puntuación no está disponible"
"Save Rating","Guardar puntuación"
"Sort Order","Ordenación"
"Visible In","Visible en"
