"Base URL","URL base"
"Configuration","Configuración"
"Confirm Password","Confirmar contraseña"
"Continue","Continuar"
"Database","Base de datos"
"Download","Descargar"
"Email","Correo electrónico"
"Email Address","Correo Electrónico"
"Enable Charts","Activar gráficos"
"Encryption Key","Clave de cifrado"
"File System","Sistema de archivos"
"First Name","Nombre"
"Host","Servidor"
"Last Name","Apellidos"
"Locale","Configuración regional"
"Login Information","Informaci&oacute;n de sesi&oacute;n"
"Password","Contraseña"
"Password Confirmation","Confirmación de contraseña"
"Personal Information","Información Personal"
"Report All Bugs","Informar de todos los errores"
"Required Fields","Campos Requeridos"
"Secure Base URL","URL base segura"
"User Name","Usuario"
"User Password","Contraseña de usuario"
"Username","Nombre de usuario"
