"--Please Select--","--Por favor elegí--"
"API Login ID","ID de inicio de sesión en API"
"Accepted Currency","Moneda aceptada"
"Authorize.net Direct Post","Authorize.net Mensaje directo"
"Card Verification Number","Verificación de la tarjeta de crédito"
"Card Verification Number Visual Reference","Número de verificación de tarjeta de referencia visual"
"Close","Cerrar"
"Credit Card Information","Información de tarjeta de crédito"
"Credit Card Number","Número de la tarjeta de crédito"
"Credit Card Type","Tipo de la tarjeta de crédito"
"Credit Card Types","Tipos de tarjeta de crédito"
"Credit Card Verification","Verificación de tarjeta de crédito"
"Debug","Depurar"
"Email Customer","Enviar mensaje de correo electrónico al cliente"
"Enabled","Habilitado"
"Expiration Date","Fecha de vencimiento"
"Gateway URL","URL de la pasarela"
"Maximum Order Total","Total máximo del pedido"
"Merchant MD5","Händler MD5"
"Merchant's Email","Correo electrónico del vendedor"
"Minimum Order Total","Total mínimo del pedido"
"New Order Status","Nuevo estado del pedido"
"Payment Action","Acción de pago"
"Payment from Applicable Countries","Pago desde países aceptados"
"Payment from Specific Countries","Pago desde países específicos"
"Sort Order","Ordenación"
"Test Mode","Modo de prueba"
"Title","Título"
"Transaction Key","Clave de transacción"
"What is this?","¿Qué es esto?"
