"1 Day Freight","Un día de flete"
"2 Day","Dos días"
"2 Day AM","Segundo día por la mañana"
"2 Day Freight","Dos días de flete"
"2nd Day Air","2º día en avión"
"2nd Day Air AM","2º día en avión por la mañana"
"2nd Day Air AM Letter","2º día por correo aéreo por la mañana"
"2nd Day Air Letter","2º día por correo aéreo"
"3 Day Freight","Tres días de flete"
"3 Day Select","Seleccione 3 días"
"Access ID","ID de acceso"
"Access License Number","Número de licencia de acceso"
"Account ID","ID de cuenta"
"Account Number","Número de Cuenta"
"Adult","Adulto"
"Adult Signature Required","Se requiere firma de adulto"
"Allowed Methods","Métodos permitidos"
"Break bulk express","Fraccionar envío urgente a granel"
"Business Service Center","Centro de servicios comerciales"
"Calculate Handling Fee","Calcular el gastos de envío"
"Canada Standard","Canadá estándar"
"Cannot retrieve shipping rates","Imposible obtener las tarifas de transporte"
"Centimeters","Centímetros"
"Commercial","Comercial"
"Configuration","Configuración"
"Container","Contenedor"
"Customer Packaging","Embalado por el cliente"
"Customer Supplied Package","Paquete suministrado por el cliente"
"DHL service is not available at %s date","DHL servicio no está disponible en %s fecha"
"Debug","Depurar"
"Delivery Confirmation","Confirmación de envío"
"Depth","Anchura"
"Destination Type","Tipo de destino"
"Development","Nueva situación"
"Direct","Directo"
"Displayed Error Message","Mensaje de error mostrado"
"Divide Order Weight","Dividir el peso del pedido"
"Documents","Documentos"
"Domestic economy select","Selección de economía doméstica"
"Domestic express","Envío urgente doméstico"
"Drop Box","Buzón"
"Dropoff","De entrega"
"Easy shop","Compra fácil"
"Economy select","Selección de economía"
"Empty response","Respuesta vacía"
"Enable Negotiated Rates","Habilitar tarifas negociadas"
"Enabled for Checkout","Habilitado para el proceso de pago"
"Europe First Priority","Primera prioridad de Europa"
"Express 10:30","Envío urgente hasta las 10:30 horas"
"Express 12:00","Envío urgente hasta las 12:00 horas"
"Express 9:00","Envío urgente hasta las 9:00 horas"
"Express Saver","Envío urgente garantizada"
"Express easy","Envío urgente fácil"
"Express envelope","Envío urgente sobre"
"Express worldwide","Envío urgente internacional"
"FedEx 10kg Box","Caja de 10 Kg. de FedEx"
"FedEx 25kg Box","Caja de 25 Kg. de FedEx"
"FedEx Box","Caja de FedEx"
"FedEx Envelope","Sobre de FedEx"
"FedEx Pak","Paquete de FedEx"
"FedEx Tube","Tubo de FedEx"
"First Overnight","Primera clase nocturno"
"First-Class Mail International Large Envelope","Sobre grande correo de primera clase internacional"
"First-Class Mail International Letter","Carta de primera clase internacional del correo"
"First-Class Mail International Postcard","Primera Clase postal de correo internacional"
"First-Class Mail Large Envelope","Correo de primera clase envolvente grande"
"First-Class Mail Large Postcards","First-Class Mail Postal grande"
"First-Class Mail Letter","Letra de correo de primera clase"
"First-Class Mail Postcards","Postales de correo de primera clase"
"First-Class Package International Service","Servicio de Mensajería Internacional de Primera Clase"
"First-Class Package Service","Servicio de primera clase del paquete"
"First-Class Package Service Hold For Pickup","Paquete de primera clase servicio espera para la recolección"
"Flat","Tarifa plana"
"Flat-Rate Envelope","Sobre de tarifa plana"
"Free Method","Método gratuito"
"Freight","Mercancías"
"Freight worldwide","Transporte internacional"
"Gateway URL","URL de la pasarela"
"Gateway XML URL","URL XML de la pasarela"
"Gift","Regalo"
"Girth","Circunferencia"
"Global Express Guaranteed (GXG)","Global Express Garantizado (GXG)"
"Global Express Guaranteed Document","Documento Global Express Garantizado"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Garantizado No-Documento No-Rectangular"
"Global Express Guaranteed Non-Document Rectangular","Global Express Garantizado No-Documento Rectangular"
"Globalmail business","Negocio de correo global"
"Ground","Vía terrestre"
"Ground Commercial","Vía terrestre Comercial"
"Ground Residential","Vía terrestre Residencial"
"Handling Applied","Gastos de tramitación aplicados"
"Handling Fee","Gastos de tramitación"
"Height","Altura"
"Home Delivery","Entrega a domicilio"
"Hub ID","ID de hub"
"Inches","Pulgadas"
"Indirect","Indirecto"
"International Economy","Internacional Económico"
"International First","Internacional Primera"
"International Ground","Internacional Vía terrestre"
"International Priority","Internacional Prioritario"
"Intl Economy Freight","Flete internacional económico"
"Intl Priority Freight","Flete de prioridad internacional"
"Jumbo box","Buzón Jumbo"
"Key","Clave"
"Kilograms","Kilogramos"
"Large","Grande"
"Large Express Box","Gran paquete urgente"
"Length","Longitud"
"Letter","Carta"
"Live","Vivo"
"Machinable","Manufacturable"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Peso máximo del paquete (Por favor, consulte a su transportista para la carga máxima soportada)"
"Medical express","Envío médico urgente"
"Medium Express Box","Paquete mediano urgente"
"Merchandise","Mercancía"
"Meter Number","Número de contador"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Peso mínimo de paquete (Por favor, consulte a su transportista para la carga mínima soportada)"
"Mode","Modo"
"National Freight","Mercancía nacional"
"Next Day Air","Transporte aéreo al día siguiente"
"Next Day Air Early AM","Transporte aéreo al día siguiente a primera hora de la mañana"
"Next Day Air Early AM Letter","Carta por transporte aéreo al día siguiente a primera hora de la mañana"
"Next Day Air Intra (Puerto Rico)","Transporte aéreo interno al día siguiente (Puerto Rico)"
"Next Day Air Letter","Carta por transporte aéreo al día siguiente"
"Next Day Air Saver","Transporte aéreo al día siguiente garantizada"
"Next Day Air Saver Letter","Transporte aéreo al día siguiente Carta garantizada"
"No","No 	"
"No packages for request","No hay solicitud de paquetes"
"Non Documents","Sin documentos"
"Non documents","Sin documentos"
"Non-rectangular","No rectangular"
"None","Ninguno"
"Not Required","No requerido"
"Order","Encargar"
"Origin of the Shipment","Origen del envío"
"Other","Otro"
"Others","Otros"
"Package","Paquete"
"Packages Request Type","Tipo de solicitud de paquetes"
"Packaging","Embalaje"
"Pallet","Palé"
"Parcel","Paquete"
"Password","Contraseña"
"Pickup Method","Método de recogida"
"Please make sure to use only digits here. No dashes are allowed.","Por favor, asegúrese de introducir solamente dígitos. No se pueden utilizar guiones."
"Pounds","Libras"
"Priority Mail","Correo prioritario"
"Priority Mail Express","Prioridad Correo Express"
"Priority Mail Express Flat Rate Envelope","Priority Mail Express Flat Rate sobre"
"Priority Mail Express Flat Rate Envelope Hold For Pickup","Priority Mail Express Flat Rate sobre recolección"
"Priority Mail Express Hold For Pickup","Priority Mail Express durante la recolección"
"Priority Mail Express International","Correo Prioritario Exprés Internacional"
"Priority Mail Express International Flat Rate Envelope","Priority Mail Express International Flat Rate sobre"
"Priority Mail Express International Legal Flat Rate Envelope","Prioridad del correo urgente internacional legal de la tarifa única de sobres"
"Priority Mail Express International Padded Flat Rate Envelope","Prioridad del correo urgente internacional de la tarifa única del sobre acolchado"
"Priority Mail Express Legal Flat Rate Envelope","Priority Mail Express Legal Flat Rate sobre"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Priority Mail Express Legal Flat Rate sobre recolección"
