"Add","Agregar"
"Add New Role","Añadir Nuevo Cargo"
"Address Type","Tipo de dirección"
"Admin","Administrador"
"Allow","Permitir"
"Assigned","Asignado"
"Attribute Set","Conjunto de atributos"
"Attributes","Atributos"
"Automatically Return Credit Memo Item to Stock","Devolver automáticamente artículo de factura de abono a existencias"
"Back","Volver"
"Backorders","Pedidos pendientes"
"Base Currency","Moneda base"
"Catalog","Catálogo"
"Category ID","ID de categoría"
"City","Ciudad"
"Company","Empresa"
"Country","País"
"Coupon Code","Código de cupón"
"Create","Crear"
"Create Permanent Redirect for old URL","Crear redirección permanente para la antigua URL"
"Customer","Cliente"
"Customer Address","Dirección del cliente"
"Customer First Name","Nombre cliente"
"Customer ID","Id del cliente"
"Customer Last Name","Apellido del cliente"
"Delete","Eliminar"
"Deny","Denegar"
"Discount","Descuento"
"Discount Amount","Cantidad descontada"
"Edit","Editar"
"Edit Role","Editar Rol"
"Email","Correo electrónico"
"Enable Qty Increments","Habilitar incrementos de cantidad"
"Exclude","Excluir"
"File Name","Nombre de archivo"
"First Name","Nombre"
"Gift Message","Mensaje de regalo"
"Grand Total","Total"
"Grand Total to Be Charged","Importe total a cobrar"
"Group","Grupo"
"Guest","Invitado"
"ID","Número de Identificación (ID)"
"Label","Etiqueta"
"Last Name","Apellidos"
"Manage Stock","Gestionar existencias"
"Maximum Qty Allowed in Shopping Cart","Cantidad máxima permitida en el carrito de compras"
"Minimum Qty Allowed in Shopping Cart","Cantidad mínima permitida en el carrito de compras"
"New Role","Nueva función"
"Notify for Quantity Below","Notificar cuando la cantidad sea inferior a"
"Order","Encargar"
"Order Comments","Comentarios del pedido"
"Order Date","Fecha del pedido"
"Order ID","Pedido ID"
"Order Status","Estado de pedido"
"Orders","Pedidos"
"Original Price","Precio original"
"Payment Method","Método de pago"
"Phone Number","Número de teléfono"
"Placed from IP","Realizado desde IP"
"Position","Destacados"
"Price","Precio"
"Product","Producto"
"Product ID","ID de artículo"
"Qty","Cantidad"
"Qty Increments","Incrementos de cantidad"
"Qty Uses Decimals","La Cantidad Usa Decimales"
"Role Info","Información de la función"
"Role Information","Información del rol"
"Role Name","Nombre del puesto"
"Role Users","Funciones del usuario"
"Roles","Funciones"
"SKU","Art"
"Sales","Ventas"
"Save","Guardar"
"Shipping Amount","Importe del envío"
"Shipping Method","Método de envío"
"State","Comunidad Autónoma"
"Stock Availability","Disponibilidad de inventario"
"Stock Status","Estado de Stock"
"Store Name","Tienda Nombre"
"System","Sistema"
"Tax Amount","Importe de impuestos"
"Tax Percent","Porcentaje de impuestos"
"Tax Rate","Tarifa de impuestos"
"Total Due","Total de deuda"
"Total Paid","Total pagado"
"Total Refunded","Total reembolsado"
"Type","Tipo"
"Update","Actualizar"
"ZIP/Postal Code","Código Postal"
