"Action","Acción"
"Add","Agregar"
"Add to Cart","Agregar al Carrito"
"Add to Wishlist","Añadir a lista que quieres"
"Approved","Aprobado"
"Are you sure you want to do this?","¿Está seguro de que quiere hacer esto?"
"Are you sure?","¿Estás seguro?"
"Back","Volver"
"Block Information","Información de bloque"
"Change status","Cambiar estado"
"Country","País"
"Customer Since","Cliente desde"
"Customers","Clientes"
"Delete","Eliminar"
"Disabled","Deshabilitado"
"Email","Correo electrónico"
"First Name","Nombre"
"General Information","Información general"
"Grid","Grilla"
"ID","Número de Identificación (ID)"
"Last Name","Apellidos"
"List","Lista"
"My Tags","Mis Tags"
"Name","Nombre"
"Pending","Pendiente"
"Price","Precio"
"Product Name","Nombre del Producto"
"Products","Productos"
"Remove","Quitar"
"SKU","Art"
"Save and Continue Edit","Guardar y continuar editando"
"Status","Estado"
"Store View","Vista de la tienda"
"Tags","Etiquetas"
"Update","Actualizar"
"ZIP/Post Code","Código Postal"
"[STORE VIEW]","[VISTA DE TIENDA]"
