"Actions","Acciones"
"Are you sure?","¿Estás seguro?"
"Date Added","Fecha creación"
"Last Update","Última actualización"
"Mark as Read","Marcar como leído"
"Mark as read","Marcar como le&iacute;do"
"Message","Mensaje"
"Messages Inbox","Bandeja de entrada"
"Notifications","Notificaciones"
"Please select messages.","Seleccione mensajes."
"Read Details","Leer detalles"
"Remove","Quitar"
"Severity","Importancia"
"Show List","Mostrar lista"
"Show Toolbar","Mostrar barra de herramientas."
"The message has been removed.","El mensaje ha sido eliminado."
"Update Frequency","Frecuencia de actualización"
"Use HTTPS to Get Feed","Utilizar HTTPS para obtener el feed"
"Wrong message type","Tipo de mensaje incorrecto"
"critical","crítica"
"major","mayor"
"minor","menor"
"notice","aviso"
