"* Required Fields","* Campos Requeridos"
"Admin","Administrador"
"Authorize","Autorizar"
"Callback URL","Llamada URL"
"Cleanup Probability","Probabilidad de limpieza"
"Cleanup Settings","Ajustes de limpieza"
"Close","Cerrar"
"Created At","Creado el"
"Customer","Cliente"
"Delete","Eliminar"
"Disable","Desactivar"
"Disabled","Deshabilitado"
"Edit","Editar"
"Email","Correo electrónico"
"Email Address","Correo Electrónico"
"Enable","Habilitar"
"Enabled","Habilitado"
"Expiration Period","Período de expiración"
"ID","Número de Identificación (ID)"
"Invalid Callback URL","Llamada URL inválida"
"Invalid Rejected Callback URL","Llamada URL rechazada inválida"
"Key","Clave"
"Log In","Iniciar sesi&oacute;n"
"Login","Entrar"
"Name","Nombre"
"Password","Contraseña"
"Permissions","Permisos"
"Role Name","Nombre del puesto"
"Save","Guardar"
"Save and Continue Edit","Guardar y continuar editando"
"Status","Estado"
"System","Sistema"
"User ID","ID de Usuario"
"User Name","Usuario"
"deleted","eliminado"
