"Advanced Search","Búsqueda avanzada"
"All","Todos"
"Catalog Advanced Search","Búsqueda avanzada de catálogo"
"Catalog Search","Catálogo de búsquedas"
"Don't see what you're looking for?","¿No encuentra lo que busca?"
"Go","Ir"
"Go to Home Page","Ir a la página de inicio"
"Grid","Grilla"
"Home","Inicio"
"List","Lista"
"Maximum Query Length","Longitud máxima de consulta"
"Minimal Query Length","Longitud mínima de consulta"
"Modify your search","Modifique su b&uacute;squeda"
"No","No 	"
"No items were found using the following search criteria.","No se encontraron items utilizando los siguientes criterios de b&uacute;squeda."
"Popular Search Terms","Términos de búsqueda populares"
"Rebuild Catalog product fulltext search index","Reconstruir indice de busca textual de catálogo"
"Relevance","Relevancia"
"Results","Resultados"
"Search","Buscar"
"Search Settings","Ajustes de búsqueda"
"Search Terms","Búsquedas populares"
"Search Type","Tipo de b&uacute;squeda"
"Search entire store here...","Buscar en toda la tienda..."
"Search results for '%s'","Resultados de b&uacute;squeda para '%s'"
"Search results for: '%s'","Resultados de b&uacute;squeda para:  '%s'"
"There are no search terms available.","No hay términos de búsqueda disponibles."
"Yes","Si"
"Your search returns no results.","No se encontraron resultados para los criterios de b&uacute;squeda seleccionados."
