"Action","Acción"
"Add Sitemap","Añadir mapa del sito web"
"Always","Siempre"
"CMS Pages Options","Opciones de páginas de CMS (sistema de gestión de contenidos)"
"Categories Options","Opciones de categorias"
"Daily","Diario"
"Edit Sitemap","Editar mapa del sitio web"
"Enabled","Habilitado"
"Error Email Recipient","Error en el destinatario del mensaje"
"Error Email Sender","Error en el remitente del mensaje"
"Error Email Template","Error en la plantilla del mensaje"
"Filename","Nombre de archivo"
"Frequency","Frecuencia"
"Generate","Generar"
"Generation Settings","Ajuste generacinal"
"Hourly","Por hora"
"ID","Número de Identificación (ID)"
"Link for Google","Enlace para Google"
"Monthly","Mensual"
"Never","Nunca"
"New Sitemap","Nuevo mapa del sitio web"
"Path","Ruta de acceso"
"Priority","Prioridad"
"Products Options","Opciones de artículos"
"Sitemap","Mapa de sitio"
"Sitemap generate Warnings","El mapa del sitio web genera alertas"
"Start Time","Tiempo de inicio"
"Store View","Vista de la tienda"
"The priority must be between 0 and 1.","La prioridad debe de estar entre 0 y 1."
"This sitemap no longer exists.","Este mapa del sitio web ya no existe."
"Weekly","Semanal"
"Yearly","Anual"
