" for more information or "," para más información o "
"# of Items (and above)","Nº de elementos (o más)"
"# of Items vs. Destination","Nº de elementos vs. destino"
"Allow Shipping to Multiple Addresses","Permitir envío a varias direcciones"
"Calculate Handling Fee","Calcular el gastos de envío"
"Carrier:","Transportista:"
"City","Ciudad"
"Close Window","Cerrar ventana"
"Condition","Condición"
"Country","País"
"Custom Value","Valor personalizado"
"Date","Fecha"
"Delivered on:","Entregados en:"
"Description","Descripción"
"Displayed Error Message","Mensaje de error mostrado"
"Divide to equal weight (one request)","Dividir al mismo peso (una petición)"
"Enabled","Habilitado"
"Export","Exportar"
"Fixed","Fijo"
"Flat Rate","Tarifa plana"
"Free Shipping","Transporte gratuito"
"Handling Fee","Gastos de tramitación"
"Import","Importar"
"Include Virtual Products in Price Calculation","Includir artículos virtuales a la calculación del precio"
"Info:","Información:"
"Local Time","Hora local"
"Location","Ubicación"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Cantidad máxima permitida para el envío a varias direcciones"
"Method Name","Nombre de método"
"Minimum Order Amount","Pedido mínimo"
"N/A","No disponible"
"None","Ninguno"
"Options","Opciones"
"Order Subtotal (and above)","Subtotal del pedido (y superior)"
"Origin","Origen"
"Per Order","Por Pedido"
"Per Package","Por paquete"
"Percent","Porcentaje"
"Price","Precio"
"Price vs. Destination","Precio vs destino"
"Region/State","Región/Provincia"
"Ship to Applicable Countries","Envío a países aplicables"
"Ship to Specific Countries","Envío a países específicos"
"Shipment #","Envío nº"
"Shipping Methods","Métodos de envío"
"Shipping Settings","Ajustes de envío"
"Show Method if Not Applicable","Mostrar el método de envío, incluso si no se aplica"
"Sort Order","Ordenación"
"Status:","Estado:"
"Store Pickup","Tienda recogida"
"Street Address","Dirección"
"Street Address Line 2","Dirección, segunda línea"
"Table Rates","Tabla de tarifas"
"The shipping module is not available.","El módulo de envío no está disponible."
"There is no tracking available for this shipment.","No se dispone de seguimiento para este envío."
"There is no tracking available.","No se dispone de seguimiento."
"Title","Título"
"Track:","Seguimiento:"
"Tracking Information","Información de seguimiento"
"Tracking Number:","Número de seguimiento:"
"Tracking information is currently not available. Please ","La información de seguimiento actualmente no está disponible. Por favor "
"Type","Tipo"
"Use origin weight (few requests)","Utilizar peso original (pocas peticiones)"
"Weight (and above)","Peso (y más)"
"Weight vs. Destination","Peso vs destino"
"ZIP/Postal Code","Código Postal"
"contact us","contáctenos"
"email us at ","Envíenos un correo electrónico a "
