"Abandoned carts","Opustené košíky"
"Action","Akcia"
"Add to Cart","Pridať do košíka"
"Add to Compare","Pridať k porovnaniu"
"Add to Wishlist","Pridať do zoznamu prianí"
"Any","Akékoľvek"
"Applied Coupon","Použitý kupón"
"Are you sure?","Ste si istí?"
"Bestsellers","Najpredávanejšie"
"Bought from wishlists","Kúpené zo Zoznamov prianí"
"Carts","Košíky"
"Coupons","Poukážky"
"Created At","Vytvorené"
"Customer","Zákazník"
"Customer Name","Meno zákazníka"
"Customer Tags","Štítky zákazníka"
"Customers","Zákazníci"
"Customers Report","Príspevok od zákazníkov"
"Customers Reviews","Recenzie zákazníkov"
"Customers Tags","Štítky zákazníkov"
"Customers by number of orders","Zákazníci podľa počtu objednávok"
"Customers by orders total","Zákazníci podľa objednávok spolu"
"Customers that have wishlist: %s%","Zákazníci majúci Zoznam prianí: %s%"
"Dashboard","Hlavný panel"
"Day","Deň"
"Description","Popis"
"Detail","Podrobnosti"
"Email","E-mail"
"First Name","Meno"
"From","Od"
"General","Základné"
"Guest","Hosť"
"Hits","Návštevy"
"IP Address","IP adresa"
"Invoiced","Fakturované"
"Items in Cart","Položiek v košíku"
"Last Name","Priezvisko"
"Last Review","Posledná recenzia"
"Low stock","Nízke skladové zásoby"
"Month","Mesiac"
"Most Viewed","Najzobrazovanejšie"
"Name","Meno"
"New Accounts","Nové účty"
"No","Nie"
"Number Added","Počet predaných"
"Number Fulfilled","Počet splnených"
"Number Of Reviews","Počet recenzií"
"Number Purchased","Počet zakúpených"
"Number Viewed","Počet zobrazení"
"Number of Items","Počet položiek"
"Number of New Accounts","Počet nových účtov"
"Number of Reviews","Počet recenzií"
"Number of Total Tags","Celkový počet štítkov"
"Number of Unique Tags","Počet jedinečných štítkov"
"Number of Views","Počet zobrazení"
"Number of items bought from a wishlist: %s","Počet položiek zakúpených zo zoznamu prianí: %s"
"Number of times wishlists have been shared (emailed): %s","Počet zdieľaní Zoznamu prianí (zaslaných e-mailom): %s"
"Number of wishlist conversions: %s","Počet zhodnotených zo Zoznamu prianí: %s"
"Number of wishlist referrals: %s","Množstvo odsúhlasených zoznamov prianí: %s"
"Number of wishlists: %s","Počet Zoznamov prianí: %s"
"Order Status","Stav objednávky"
"Orders","Objednávky"
"Out of stock","Vypredané"
"Period","Perióda"
"Poducts Report","Prehľad produktov"
"Popular Tags","Obľúbené štítky"
"Popularity","Obľúbenosť"
"Price","Cena"
"Product Name","Názov produktu"
"Product Reviews","Recenzie Produktu"
"Product SKU","Kód produktu"
"Product Tags","Štítky produktu"
"Products","Produkty"
"Products Report","Prehľad produktov"
"Products Reviews","Recenzie produktov"
"Products Tags","Štítky produktov"
"Products in carts","Počet produktov v košíkoch"
"Quantity Ordered","Objednané množstvo"
"Quantity of Items","Množstvo položiek"
"Recently Compared Products","Naposledy porovnávané pordukty"
"Recently Viewed","Naposledny videné"
"Recently Viewed Products","Naposledy zobrazené produkty"
"Recently Viewed/Compared Products","Naposledy zobrazené/porovnávané produkty"
"Refunds","Úhrady"
"Reports","Prehľady"
"Results","Výsledky"
"Revenue","Príjem"
"Review","Recenzia"
"Reviews","Recenzie"
"Sales","Obrat"
"Sales Report","Prehľady predajov"
"Search Query","Hľadaný výraz"
"Search Terms","Hľadané výrazy"
"Shipping","Doprava"
"Shopping Cart","Nákupný košík"
"Show for Current","Zobraziť aktuálne"
"Stock Qty","Množstvo na sklade"
"Submitted In","Odoslané v"
"Submitted On","Odoslané na"
"Subtotal","Medzisúčet"
"Tag","Štítok"
"Tag Detail","Podrobnosti o štítku"
"Tag Name","Názov štítka"
"Tags submitted to %s","Vložené štítky %s"
"Tax","Daň"
"Title","Titulok"
"To","Do"
"Total","Celkom"
"Total Tags","Celkovo štítkov"
"Total invoiced","Celkovo fakturovaných"
"Total refunded","Celkovo splatených"
"Updated At","Aktualizované"
"Visible In","Viditeľný v"
"Wishlist Report","Prehľad Zoznamu prianí"
"Wishlist vs. Regular Order","Zoznam prianí vs. Skutočné objednávky"
"Wishlists","Zoznamy prianí"
"Year","Rok"
"Yes","Áno"
"Your Recently Compared","Vaše naposledy porovnávané"
"Your Recently Viewed","Vaše naposledy zobrazené"
