"Add","Pridať"
"Add New Role","Pridať novú funkciu"
"Admin","Správca"
"Assigned","Priradený"
"Attribute Set","Sada atribútov"
"Attributes","Atribúty"
"Back","Späť"
"Backorders","Do-objednávky"
"Catalog","Katalóg"
"Category ID","ID kategórie"
"City","Mesto"
"Company","Spoločnosť"
"Country","Krajina"
"Coupon Code","Kód poukážky"
"Create Permanent Redirect for old URL","Pre starú URL vytvoriť trvalé presmerovanie"
"Customer","Zákazník"
"Delete","Zmazať"
"Discount","Zľava"
"Discount Amount","Hodnota zľavy"
"Edit","Upraviť"
"Edit Role","Upraviť funkciu"
"Email","E-mail"
"Enable Qty Increments","Povoliť množstvo po krokoch"
"Exclude","Vylúčiť"
"First Name","Meno"
"Gift Message","Venovanie"
"Grand Total","Celkový súčet"
"Group","Skupina"
"Guest","Hosť"
"Label","Štítok"
"Last Name","Priezvisko"
"Manage Stock","Správa zásob"
"Maximum Qty Allowed in Shopping Cart","Maximálne množstvo povolené v nákupnom košíku"
"Minimum Qty Allowed in Shopping Cart","Minimálne množstvo povolené v nákupnom košíku"
"Notify for Quantity Below","Upozorniť na množstvo nižšie"
"Order","Objednávka"
"Order Comments","Poznámky k objednávke"
"Order Date","Dátum objednávky"
"Order Status","Stav objednávky"
"Orders","Objednávky"
"Payment Method","Spôsob platby"
"Phone Number","Telefónne číslo"
"Position","Pozícia"
"Price","Cena"
"Product","Produkt"
"Product ID","ID Produktu"
"Product Type","Typ"
"Qty","Množstvo"
"Qty Increments","Množstevný krok"
"Qty Uses Decimals","Množstvo používa desatinné miesta"
"Role Info","Informácie o funkcii"
"Role Information","Informácie o funkcii"
"Role Name","Názov funkcie"
"Role Users","Užívateľské funkcie"
"Roles","Funkcie"
"SKU","Katalógové číslo"
"Sales","Obrat"
"Save","Uložiť"
"Shipping Amount","Množstvo na odoslanie"
"Shipping Method","Spôsob dopravy"
"State","Štát"
"Stock Availability","Dostupnosť na sklade"
"Stock Status","Stav skladu"
"Store Name","Názov obchodu"
"Subtotal","Medzisúčet"
"System","Systém"
"Tax Amount","Výška dane"
"Total Due","Spolu k úhrade"
"Total Paid","Spolu zaplatené"
"Total Refunded","Celkovo splatené"
"Type","Typ"
"Update","Aktualizácia"
"ZIP/Postal Code","Poštové smerovacie číslo"
