"Done","Hotovo"
"Less than a minute","Menej ako minúta"
"Memory Used: %s","Využitie pamäte: %s"
"Processed records: %s","Spracované záznamy: %s"
"Sheet 1","Hárok 1"
"Starting %s :: %s","Začiatok %s :: %s"
"Total records: %s","Celkový počet záznamov: %s"
"hour","hodina"
"hours","hodín"
"minute","minúta"
"minutes","minút"
