"Add Option","Pridaj možnosť"
"Attempt to add an invalid object","Pokus o pridanie neplatného objektu"
"Attribute Code","Kód atribútu"
"Attribute Label","štítok atribútu"
"Attribute Properties","Vlastnosti atribútu"
"Attribute object is undefined","Nedefinový objekt atribútu"
"Attribute with the same code","Atribút s rovnakým kódom"
"Catalog Input Type for Store Owner","Vstupný typ katalógu pre vlastníka obchodu"
"Data integrity: No header row found for attribute","Integrita údajov: Nebol nájdený riadok hlavičky pre atribút"
"Date","Dátum"
"Decimal Number","Desatinné číslo"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Predefinovaný spôsob radenie vypisu produktov neexistuje v zozname dostupných spôsobov radenia vypisu produktov."
"Default Value","Predvolená hodnota"
"Default option value is not defined","Predvolená hodnota nie je definovaná"
"Delete","Zmazať"
"Dropdown","Rozbaľovací zoznam"
"Email","E-mail"
"Entity is not initialized","Predmet nie je inicializovaný"
"Frontend label is not defined","Popisok pre front-end nie je definovaný"
"Input Validation for Store Owner","Vstupné overenie pre majiteľa obchodu"
"Integer Number","Celé číslo"
"Invalid attribute name: %s","Neplatné meno atribútu: %s"
"Invalid attribute requested: %s","Požadovaný neplatný atribút: %s"
"Invalid attribute type","Neplatný typ atribútu"
"Invalid character encountered in increment ID: %s","Neplatný znak nájdený v ID inkrementu: %s"
"Invalid entity specified","Uvedená neplatná jednotka"
"Invalid entity supplied: %s","Zadaná neplatná jednotka: %s"
"Invalid entity type","Neplatný typ jednotky"
"Invalid entity_type specified: %s","Uvedené neplatné entity_type: %s"
"Invalid foreign key","Neplatný cudzí kľúč"
"Invalid store specified","Bol špecifikovaný neplatný obchod"
"Joined field with this alias is already declared","Spájaný stĺpec pod týmto aliasom je už deklarovaný"
"Letters","Písmená"
"Loaded %d records","Načítaných %d záznamov"
"Multiple Select","Viacnásobný výber"
"No","Nie"
"None","Žiadne"
"Not shared with other products","Nie je zdieľaný s inými produktami"
"Problem loading the collection, aborting. Error: %s","Problém nahrávania kolekcie, predčasne ukončené. Chyba: %s"
"Problem saving the collection, aborting. Error: %s","Problém pri ukladaní kolekcie, prerušené. Chyba: %s"
"Required","Požadované"
"System","Systém"
"Text Area","Textové pole"
"Text Field","Textové pole"
"Unique Value","Jedinečná hodnota"
"Unique Value (not shared with other products)","Jedinečná hodnota (nezdieľa sa s ostatnými produktmi)"
"Unknown parameter","Neznámy parameter"
"Values Required","Hodnoty sú povinné"
"Wrong attribute group ID","Nesprávne ID skupiny atribútov"
"Wrong attribute set ID","Nesprávne ID sady atribútov"
"Wrong entity ID","Nesprávne ID jednotky"
"Yes","Áno"
"Yes/No","Áno/Nie"
