"API Login ID","API prihlasovacie ID"
"Accepted Currency","Akceptovaná mena"
"Authorize Only","Len schváliť"
"Authorize and Capture","Schváliť a získať"
"Authorize.net","Authorize.net (web)"
"Cancel","Zrušiť"
"Credit Card Types","Typy kreditnej karty"
"Credit Card Verification","Overenie kreditnej karty"
"Debug","Ladenie"
"Email Customer","E-mailovať zákazníkovi"
"Enabled","Zapnuté"
"Invalid amount for authorization.","Chybné množstvo pre autorizáciu."
"Invalid amount for capture.","Neplatná čiastka pre zachytenie."
"Invalid amount for refund.","Neplatná čiastka vrátenia."
"Maximum Order Total","Maximálna suma objednávky"
"Merchant's Email","E-mail obchodníka"
"Minimum Order Total","Minimálna suma objednávky"
"New Order Status","Stav novej objednávky"
"Payment Action","Platobná akcia"
"Payment authorization error.","Chyba pri autorizácii platby."
"Payment capturing error.","Chyba získavania platby."
"Payment from Applicable Countries","Platba z dostupných krajín"
"Payment from Specific Countries","Platba z vybratých krajín"
"Payment refunding error.","Chyba vrátenia platby."
"Payment voiding error.","Chyba anulácie platby."
"Sort Order","Poradie radenia"
"Test Mode","Skúšobný mód"
"Title","Titulok"
"Transaction Key","Transakčný kľúč"
"authorize","schváliť"
"authorize and capture","schváliť a získať"
"capture","získať"
"failed","neúspešné"
"refund","vrátenie"
"successful","úspešné"
"void","anulované"
