"-- Please Select --","-- Prosím vyberte --"
"Add New Class","Pridať novú triedu"
"Add New Tax Rate","Pridať novú daňovú sadzbu"
"Add New Tax Rule","Pridať nové daňové pravidlo"
"Are you sure you want to do this?","Ste si istí, že chcete to chcete urobiť?"
"Back","Späť"
"Class Name","Názov skupiny"
"Code","Kód"
"Country","Krajina"
"Customer Tax Class","Zákaznícka daňová skupina"
"Customer Tax Class Information","Informácie o daňovej triede zákazníka"
"Customer Tax Classes","Zákaznícke daňové skupiny"
"Default Country","Predvolená krajina"
"Delete Class","Zmazať skupinu"
"Delete Rate","Zmazať sadzbu"
"Delete Rule","Odstrániť pravidlo"
"Edit Class","Editovať skupinu"
"Edit Class '%s'","Editovať skupinu '%s'"
"Edit Rule","Editovať pravidlo"
"Edit Tax Rate","Editovať daňovú sadzbu"
"Excl. Tax","Bez dane"
"Export Tax Rates","Exportovať daňové sadzby"
"Import / Export Tax Rates","Import/Export daňových sadzieb"
"Import Tax Rates","Importovať daňové sadzby"
"Inc. Tax","Vrátane dane"
"Incl. Tax","Vrátane dane"
"Invalid file format upload attempt","Pokus o nahratie chybného formátu súboru"
"Invalid file upload attempt","Pokus o nahratie chybného súboru"
"Name","Meno"
"New Class","Nová skupina"
"New Rule","Nové pravidlo"
"New Tax Rate","Nová daňová sadzba"
"No","Nie"
"None","Žiadne"
"Priority","Priorita"
"Product Tax Class","Daňová skupina produktu"
"Product Tax Class Information","Informácie o daňovej kategórii produktu"
"Product Tax Classes","Daňové skupiny produktov"
"Reset","Resetovať"
"Row Total","Celkom za položku"
"Sales","Obrat"
"Save Class","Uložiť skupinu"
"Save Rate","Uložiť pomer"
"Save Rule","Uložiť pravidlo"
"Save and Continue Edit","Uložiť a pokračovať v upravách"
"Sort Order","Poradie radenia"
"State","Štát"
"State/Region","Štát/Región"
"Tax","Daň"
"Tax Rate Information","Informácie o daňovej sadzbe"
"Tax Rule Information","Informácie o daňovom pravidle"
"Tax Rules","Daňové pravidlá"
"This class no longer exists","Táto skupina už neexistuje"
"This rule no longer exists","Toto pravidlo už neexistuje"
"This rule no longer exists.","Toto pravidlo už neexistuje."
"Total","Celkom"
"Unit Price","Cena za jednotku"
"Yes","Áno"
"You cannot delete this tax class as it is used for %d customer groups.","Nemôžete zmazať túto daňovú skupinu, nakoľko je používaná pre %d zákaznícku skupinu."
"You cannot delete this tax class as it is used for %d products.","Nemôžete zmazať túto daňovú skupinu, nakoľko je používaná pre %d produkty."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Nemôžete zmazať túto daňovú skupinu, nakoľko je používaná v daňových pravidlách. Musíte najskôr zmazať pravidlá a až potom skupinu."
"Zip/Post Code","PSČ"
