"Add Minimum Qty","Pridať minimálne množstvo"
"Allow Qty Below 0","Povoliť množstvo menšie než 0"
"Allow Qty Below 0 and Notify Customer","Povoliť množstvo menšie ako 0 a upozorniť zákazníka"
"Backorders","Do-objednávky"
"By Fixed value","Podľa pevnej hodnoty"
"By Percentage","Percentuálne"
"Decrease Stock When Order is Placed","Znižovať stav zásob podľa objednávok"
"Display Out of Stock Products","Zobrazovať vypredané produkty"
"Enable Qty Increments","Povoliť množstvo po krokoch"
"In Stock","Skladom"
"Inventory","Inventár"
"Manage Stock","Správa zásob"
"Maximum Qty Allowed in Shopping Cart","Maximálne množstvo povolené v nákupnom košíku"
"Minimum Qty","Minimálne množstvo"
"Minimum Qty Allowed in Shopping Cart","Minimálne množstvo povolené v nákupnom košíku"
"No Backorders","Žiadne do-objednávky"
"Notify for Quantity Below","Upozorniť na množstvo nižšie"
"Out of Stock","Vypredané"
"Product Name","Názov produktu"
"Product Stock Options","Možnosti zásoby produktu"
"Products will still be shown by direct product URLs.","Výrobok bude stále dostupný zadaním priamej URL adresy."
"Qty","Množstvo"
"Qty Increments","Množstevný krok"
"Rule price","Cenové pravidlo"
"Set Items' Status to be In Stock When Order is Cancelled","Po zrušení objednávky nastaviť stav zásoby na ""Skladom"""
"Stock Options","Možnosti zásob"
"Stock Status","Stav skladu"
"The stock item for Product in option is not valid.","Neplatná skladová položka pre možnosť produktu."
"To Fixed Value","Pevnou hodnotou"
"To Percentage","Percentuálne"
"Update","Aktualizácia"
"Update the Product","Aktualizovat produkt"
