"--Please Select--","--Prosím vyberte--"
"API Login ID","API prihlasovacie ID"
"Accepted Currency","Akceptovaná mena"
"Card Verification Number","Overovacie číslo karty"
"Card Verification Number Visual Reference","CVV kód na vašej platobnej karte"
"Close","Zavrieť"
"Credit Card Number","Číslo kreditnej karty"
"Credit Card Type","Typ kreditnej karty"
"Credit Card Types","Typy kreditnej karty"
"Credit Card Verification","Overenie kreditnej karty"
"Debug","Ladenie"
"Email Customer","E-mailovať zákazníkovi"
"Enabled","Zapnuté"
"Expiration Date","Dátum expirácie"
"Gateway URL","URL brány"
"Maximum Order Total","Maximálna suma objednávky"
"Merchant MD5","MD5 obchodníka"
"Merchant's Email","E-mail obchodníka"
"Minimum Order Total","Minimálna suma objednávky"
"New Order Status","Stav novej objednávky"
"Order saving error: %s","Chyba pri uložení objednávky: %s"
"Payment Action","Platobná akcia"
"Payment authorization error.","Chyba pri autorizácii platby."
"Payment from Applicable Countries","Platba z dostupných krajín"
"Payment from Specific Countries","Platba z vybratých krajín"
"Sort Order","Poradie radenia"
"Test Mode","Skúšobný mód"
"Title","Titulok"
"Transaction Key","Transakčný kľúč"
"What is this?","Čo je toto?"
