"Actions","Akcie"
"Active","Aktívny"
"Add New Rule","Pridať nové pravidlo"
"Apply","Použiť"
"Apply Rules","Použiť pravidlá"
"Attribute Set","Sada atribútov"
"By Fixed Amount","Podľa pevného množstva"
"Catalog","Katalóg"
"Catalog Price Rule","Pravidlo katalógovej ceny"
"Catalog Price Rules","Pravidlá katalógovej ceny"
"Category","Kategória"
"Conditions","Podmienky"
"Conditions (leave blank for all products)","Podmienky (ponechajte prázdne pre všetky produkty)"
"Conditions Combination","Kombinácie podmienok"
"Customer Groups","Zákaznicke skupiny"
"Date Expire","Dátum vypršania"
"Date From","Dátum od"
"Date Start","Počiatočný dátum"
"Date To","Dátum do"
"Description","Popis"
"Discount Amount","Hodnota zľavy"
"Edit Rule","Editovať pravidlo"
"Edit Rule '%s'","Editovať pravidlo '%s'"
"Expiration Date","Dátum expirácie"
"From Date","Od dátumu"
"General Information","Všeobecné informácie"
"Inactive","Neaktívny"
"New Rule","Nové pravidlo"
"No","Nie"
"Options","Možnosti"
"Priority","Priorita"
"Product Attribute","Atribút produktu"
"Promotions","Propagácie"
"Rule Information","Informácie o pravidle"
"Rule Name","Názov pravidla"
"Save and Apply","Uložiť a použiť"
"Save and Continue Edit","Uložiť a pokračovať v upravách"
"Start Date","Dátum začiatku"
"Status","Stav"
"This rule no longer exists.","Toto pravidlo už neexistuje."
"To Date","Do dátumu"
"To Fixed Amount","Pre pevné množstvo"
"Type","Typ"
"Update product's %s %s: %s","Aktualizovať produkty %s %s: %s"
"Website","Webová stránka"
"Websites","Webové stránky"
"Yes","Áno"
