"Add","Pridať"
"Allow Gift Messages for Order Items","Povoliť darčekové odkazy pre položky objednávky"
"Allow Gift Messages on Order Level","Povoliť darčekové odkazy na úrovni objednávky"
"Are you sure?","Ste si istí?"
"Cancel","Zrušiť"
"Do you have any gift items in your order?","Máte v objednávke nejaké darčekové položky?"
"Edit","Upraviť"
"From","Od"
"Gift Message","Venovanie"
"Item %d of %d","Položka %d z %d"
"Message","Správa"
"No","Nie"
"Save Gift Message","Uložiť darčekový odkaz"
"To","Do"
"Unknown entity type","Neznámy typ objektu"
"Use config","Použiť konfiguráciu"
"Yes","Áno"
