"-- Please select --","-- Prosím vyberte --"
"Continue &raquo;","Pokračovať &raquo;"
"Country","Krajina"
"Country and Format Type combination should be unique","Krajina a typ formátu by mali byť jedinečné"
"Currency","Mena"
"Currency Options","Vlastnosti meny"
"Currency Setup","Inštalácia mien"
"Currency Update Warnings","Upozornenia na aktualizácie meny"
"Enabled","Zapnuté"
"Error Email Recipient","Prijímateľ chybového e-mailu"
"Error Email Sender","Odosielateľ chybového e-mailu"
"Error Email Template","Šablóna chybového e-mailu"
"FATAL ERROR:","KRITICKÁ CHYBA:"
"Frequency","Frekvencia"
"Installed Currencies","Nainštalované meny"
"Invalid country code: %s","Neplatný kód krajiny: %s"
"Invalid rates received","Prijaté neplatné pomery"
"Scheduled Import Settings","Nastavenia plánovaného importu"
"Select Your Currency","Vyberte svoju menu"
"Service","Služba"
"Start Time","Čas začiatku"
"State/Province","Štát/provincia"
"WARNING:","UPOZORNENIE:"
"Your current currency is: %s","Vaša aktuálna mena je: %s"
