"Action","Akcia"
"Add Sitemap","Pridať Sitemap"
"Always","Vždy"
"CMS Pages Options","Nastavenie CMS stránok"
"Categories Options","Nastavenie kategórií"
"Daily","Denne"
"Edit Sitemap","Editovať Sitemap"
"Enabled","Zapnuté"
"Error Email Recipient","Prijímateľ chybového e-mailu"
"Error Email Sender","Odosielateľ chybového e-mailu"
"Error Email Template","Šablóna chybového e-mailu"
"Filename","Názov súboru"
"Frequency","Frekvencia"
"Generation Settings","Nastavenia generovania"
"Hourly","Každú hodinu"
"Last Time Generated","Naposledy generované"
"Link for Google","Odkaz ku Google"
"Monthly","Mesačne"
"Never","Nikdy"
"New Sitemap","Nový Sitemap"
"Path","Cesta"
"Priority","Priorita"
"Products Options","Nastavenie produktov"
"Sitemap generate Warnings","Výstrahy generovania Sitemap-y"
"Start Time","Čas začiatku"
"Store View","Zobrazenie obchodu"
"Weekly","Týždenne"
"Yearly","Ročne"
