"* Required Fields","* Povinné políčka"
"--Please Select--","--Prosím vyberte--"
"<label>Make Check payable to:</label> %s","<label>Vykonajte platbu šekom v prospech:</label> %s"
"Bank Transfer Payment","Platba Prevodom"
"Card Verification Number","Overovacie číslo karty"
"Credit Card Number","Číslo kreditnej karty"
"Credit Card Number: xxxx-%s","Číslo platobnej karty: xxxx-%s"
"Credit Card Type","Typ kreditnej karty"
"Credit Card Type: %s","Typ platobnej karty: %s"
"Credit Card Types","Typy kreditnej karty"
"Credit card type is not allowed for this payment method.","Typ platobnej karty nie je povolený pre tento spôsob platby."
"Currency","Mena"
"Day","Deň"
"Enabled","Zapnuté"
"Expiration Date","Dátum expirácie"
"Expiration Date: %s/%s","Dátum expirácie: %s/%s"
"Incorrect credit card expiration date.","Neplatný dátum exspirácie karty."
"Issue Number","Problém číslo"
"Make Check payable to:","Vyplatiť šek:"
"Make Check payable to: %s","Vytvoriť šek splatný pre: %s"
"Maximum Order Total","Maximálna suma objednávky"
"Merchant ID","ID obchodníka"
"Minimum Order Total","Minimálna suma objednávky"
"Month","Mesiac"
"N/A","NEDOST."
"Name on Card","Meno na karte"
"Name on the Card: %s","Meno na karte: %s"
"New Order Status","Stav novej objednávky"
"Password","Heslo"
"Payment Method","Spôsob platby"
"Payment Methods","Metódy platby"
"Payment from Applicable Countries","Platba z dostupných krajín"
"Payment from Specific Countries","Platba z vybratých krajín"
"Please enter a valid credit card verification number.","Prosím zadajte platné verifikačné číslo karty."
"Purchase Order Number","Číslo objednávky"
"Purchase Order Number: %s","Číslo objednávky: %s"
"Saved CC","Uložené kreditné karty"
"Selected payment type is not allowed for billing country.","Vybratý druh platby nie je povolený pre krajinu príjemcu platby."
"Send Check to","Poslať šek pre"
"Send Check to:","Poslať šek pre:"
"Shipping Amount","Množstvo na odoslanie"
"Sort Order","Poradie radenia"
"Start Date","Dátum začiatku"
"Tax Amount","Výška dane"
"Test Mode","Skúšobný mód"
"Title","Titulok"
"What is this?","Čo je toto?"
"Year","Rok"
"Zero Subtotal Checkout","Nulový kontrolný medzisúčet"
