"* Required Fields","* Povinné políčka"
"-- Select --","-- Vyberte --"
"Add New Option","Pridať novú možnosť"
"As Low as","Už od"
"As low as","Už od"
"Bundle Items","Súbor položiek"
"Checkbox","Zaškrtávacie políčko"
"Choose a selection...","Zvolte výber..."
"Click for price","Pre cenu kliknite"
"Close","Zavrieť"
"Default","Predvolené"
"Default Qty","Predvolené množ."
"Default Title","Predvolený názov"
"Drop-down","Rozbaľovací zoznam"
"Dynamic","Dynamické"
"Excl. Tax","Bez dane"
"Fixed","Pevné"
"From","Od"
"From:","Od:"
"Gift Message","Venovanie"
"Incl. Tax","Vrátane dane"
"Input Type","Typ vstupu"
"Message:","Správa:"
"Multiple Select","Viacnásobný výber"
"N/A","NEDOST."
"No options of this product are available.","Pre tento produkt niesu dostupné žiadne možnosti."
"None","Žiadne"
"Percent","Percentá"
"Percent Discount","Percentuálna zľava"
"Please enter a number greater 0 in this field.","Do tohto políčka zadajte číslo väčšie ako 0."
"Please specify product option(s).","Zadajte parametre produktu."
"Position","Pozícia"
"Price Range","Cenový rozsah"
"Price Type","Typ ceny"
"Radio Buttons","Prepínače"
"SKU","Katalógové číslo"
"Separately","Samostatne"
"Ship Bundle Items","Odoslať súbor položiek"
"Shipment","Zásielka"
"Store View Title","Názov zobrazenia obchodu"
"To","Do"
"To:","Pre:"
"Together","Spolu"
"Use Default Value","Použiť predvolenú hodnotu"
"and","a"
