"-- Please Select --","--Seleccione--"
"Attribute Code","Código de atributo"
"Attribute Label","Etiqueta de atributo"
"Begin data validation","Inicie la validación de los datos."
"Cannot get autoincrement value","No se puede obtener un incremento automático del valor"
"Check Data","Verificar los datos"
"Customers","Clientes"
"Delete Entities","Borrar Entidades"
"Destination file is not writable","No se puede escribir en el archivo de destino"
"Entity Type","Tipo de datos"
"Entity is unknown","Entidad desconocida"
"Export","Exportar"
"Export File Format","Exportar el formato de archivo"
"Export Settings","Exportar la configuración"
"File is valid! To start import process press ""Import"" button","El archivo no es correcto. Para empezar el proceso de importación pulse el botón ""Importar""."
"Filter","Filtro"
"From","Desde"
"Import","Importar"
"Import Behavior","Importar comportamiento"
"Import Settings","Importar configuración"
"Import/Export","Importar/Exportar"
"No valid data sent","Los datos enviados no son válidos"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Solucione los errores y vuelva a cargar el archivo, o pulse el botón ""Importar"" para omitir las filas con errores"
"Products","Productos"
"Select File to Import","Seleccione archivo para importar"
"Status","Estatus"
"There are no product types available for export","No hay tipos de artículos disponibles para la exportación"
"To","Hasta"
"Unknown attribute filter type","Tipo de filtro de atributo desconocido"
