"1 star","1 estrella"
"2 stars","2 estrellas"
"3 stars","3 estrellas"
"4 stars","4 estrellas"
"5 stars","5 estrellas"
"Add New Rating","Agregar nueva puntuación"
"Assigned Options","Opciones asignadas"
"Be the first to review this product","Sea el primero en dejar una reseña para este artículo"
"Default Value","Valor predeterminado"
"Delete Rating","Eliminar puntuación"
"Edit Rating","Editar Calificación"
"ID","Identificador"
"If you do not specify a rating title for a store, the default value will be used.","Si no especifica un título para la calificación en cada tienda, se usara el valor predeterminado."
"New Rating","Nueva puntuación"
"Option Label","Etiqueta Opcional"
"Option Title","Título de opciones"
"Option Title:","Título de opciones:"
"Please select one of each ratings above","Por favor selecciona una de cada calificación de arriba"
"Rating Information","Información sobre la puntuación"
"Rating Name","Nombre de la Calificación"
"Rating Options","Opciones de Calificación"
"Rating Title","Visibilidad de la puntuación"
"Rating Visibility","Visibilidad de la puntuación"
"Rating isn't Available","La puntuación no está disponible"
"Rating with the same title","Calificación con el mismo título"
"Save Rating","Guardar puntuación"
"Sort Order","Orden de aparición"
"Visible In","Visible En"
