"Add","Agregar"
"Allow Gift Messages for Order Items","Permitir mensajes de regalo en artículos pedidos"
"Allow Gift Messages on Order Level","Permitir mensajes de regalo en nivel de pedido"
"Are you sure?","¿Está seguro(a)?"
"Cancel","Cancelar"
"Do you have any gift items in your order?","¿Tiene artículos de regalo en su pedido?"
"Edit","Editar"
"From","Desde"
"Gift Message","Mensaje regalo"
"Gift Options","Opciones de regalo"
"Gift Options for Individual Items","Opciones de regalo para artículos individuales."
"Item %d of %d","Artículo %d de %d"
"Message","mensaje"
"No","No 	"
"OK","Aceptar"
"Save Gift Message","Guardar mensaje de regalo"
"To","Hasta"
"Unknown entity type","Tipo de entidad desconocido"
"Use config","Usar config"
"Yes","Sí"
