"%d Review(s)","%d Reseña(s)"
"%s Review(s)","%s Reseña(s)"
"(Posted on %s)","(Publicado en %s)"
"1 star","1 estrella"
"2 stars","2 estrellas"
"3 stars","3 estrellas"
"4 stars","4 estrellas"
"5 stars","5 estrellas"
"Add New Review","Agregar nueva reseña"
"Add Your Review","Valora este producto"
"Administrator","Administrador"
"All Reviews","Todas las reseñas"
"Allow Guests to Write Reviews","Permitir a los visitantes escribir reseñas"
"Approved","Aprobado"
"Are you sure you want to do this?","¿Está seguro de que quiere hacer esto?"
"Are you sure?","¿Está seguro(a)?"
"Average Customer Rating","Valoración media de clientes"
"Average Customer Rating:","Revisión media de clientes:"
"Back","Atrás"
"Back to Main Product Info","Volver a información principal del artículo"
"Back to My Reviews","Volver a mis reseñas"
"Back to Product Reviews","Volver a reseñas de artículo"
"Be the first to review this product","Sea el primero en dejar una reseña para este artículo"
"Created On","Creado"
"Customer","Cliente"
"Customer Reviews","Reseñas de cliente"
"Customers Reviews","Reseñas de clientes"
"Delete","Borrar"
"Delete Review","Eliminar reseñas"
"Detailed Rating","Valoración detallada"
"Edit Review '%s'","Modificar Reseñas '%s'"
"Guest","Visitante"
"How do you rate this product?","¿Como evalúa este producto?"
"ID","Identificador"
"My Product Reviews","Mis valoraciones"
"My Recent Reviews","Mis reseñas recientes"
"Name","Nombre"
"New Review","Nueva revisión"
"Nickname","Apodo"
"Not Approved","No aprobado"
"Pending","Pendiente"
"Pending Reviews","Reseñas pendientes"
"Please select a product","Por favor seleccione un producto"
"Please select one of each of the ratings above","Por favor seleccione una por una de las calificaciones de arriba"
"Posted By","Publicado por"
"Price","Precio"
"Product","Producto"
"Product Name","Nombre del producto"
"Product Rating","Valoración de artículo"
"Product Rating:","Valoración de artículo:"
"Product Review (submitted on %s):","Reseña del producto (presentada en %s):"
"Product Reviews","Reseñas de artículo"
"Product SKU","No. Ref. (SKU) del producto"
"Products Reviews","Reseñas de artículos"
"Qty","Cant"
"Rating:","Calificación:"
"Review","Reseña"
"Review Details","Detalles de reseña"
"Review by %s","Reseña por %s"
"Reviews","Reseñas"
"Reviews and Ratings","Reseñas y Calificaciones"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Save Review","Guardar reseña"
"Status","Estatus"
"Submit Review","Enviar reseña"
"Summary Rating","Resumen de clasificación"
"Summary of Review","Resumen de revisión"
"Summary of Your Review","Resumen de su reseña"
"Title","Título"
"Type","Tipo"
"Update Status","Actualizar estado"
"View All Reviews","Ver todas las reseñas"
"View Details","Mostrar detalles"
"Visible In","Visible En"
"Websites","Sitios web"
"Write Your Own Review","Escribir Su propia reseña"
"You have submitted no reviews.","No has enviado ninguna reseña."
"You're reviewing:","Estás revisando:"
"Your Rating:","Su calificación:"
"Your Review (submitted on %s):","Su reseña (enviada el %s):"
