"Actions","Acciones"
"Active","Activo"
"Add New Rule","Añadir nueva regla"
"Apply","Aplicar"
"Apply Rules","Aplicar las reglas"
"Attribute Set","Conjunto de atributos"
"By Fixed Amount","Por Monto Fijo"
"Catalog","Catálogo"
"Catalog Price Rule","Regla de precio de catálogo"
"Catalog Price Rules","Catálogo Normas sobre precios"
"Category","Categoría"
"Conditions","Condiciones"
"Conditions (leave blank for all products)","Condiciones (dejar en blanco para todos los productos)"
"Conditions Combination","Combinación de condiciones"
"Customer Groups","Grupos de Clientes"
"Date Expire","Fecha de vencimiento"
"Date From","Fecha desde"
"Date Start","Fecha de inicio"
"Date To","Hasta la fecha"
"Description","Descripción"
"Discount Amount","Monto de descuento"
"Edit Rule","Editar regla"
"Edit Rule '%s'","Editar Reglas '%s'"
"Expiration Date","Fecha de vencimiento"
"From Date","Desde la fecha"
"General Information","Información general"
"ID","Identificador"
"Inactive","Inactivo"
"New Rule","Nueva regla"
"No","No 	"
"Options","Opciones"
"Priority","Prioridad"
"Product Attribute","Atributos del artículo"
"Promotions","Promociones"
"Rule Information","Información sobre la regla"
"Rule Name","Nombre de la regla"
"Save and Apply","Guardar y aplicar"
"Save and Continue Edit","Guardar y continuar editando"
"Start Date","Fecha de inicio"
"Status","Estatus"
"This rule no longer exists.","Esta regla ya no existe."
"To Date","Para Fecha"
"To Fixed Amount","A Monto Fijo"
"Type","Tipo"
"Update product's %s %s: %s","Actualizar productos %s %s: %s"
"Website","Página web"
"Websites","Sitios web"
"Yes","Sí"
