"Add Minimum Qty","Añadir cantidad mínima"
"Allow Qty Below 0","Permitir cantidad menor que 0"
"Allow Qty Below 0 and Notify Customer","Permitir cantidad menor que 0 y notificar al cliente"
"Automatically Return Credit Memo Item to Stock","Devolver automáticamente artículo de factura de abono a existencias"
"Backorders","Pedidos pendientes"
"By Fixed value","Por valor fijo"
"By Percentage","Por porcentaje"
"Catalog Inventory","Catálogo de inventario"
"Decrease Stock When Order is Placed","Disminuir las existencias cuando se realiza un pedido"
"Display Out of Stock Products","Visualizar los artículos agotados"
"Enable Qty Increments","Habilitar incrementos de cantidad"
"In Stock","En existencias"
"Inventory","Inventario"
"Inventory API","Inventario de la API"
"Inventory Section","Sección de inventario"
"Manage Stock","Gestionar existencias"
"Maximum Qty Allowed in Shopping Cart","Cantidad Máxima Permitida en la Cesta del Carrito"
"Minimum Qty","Cantidad Mínima"
"Minimum Qty Allowed in Shopping Cart","Cantidad Mínima Permitida en la Cesta de Compra"
"No Backorders","No hay pedidos pendientes"
"Notify for Quantity Below","Notificar cuando la cantidad sea inferior a"
"Only X left Threshold","Quedan X en almacén desde"
"Out of Stock","Fuera de existencias"
"Product Name","Nombre del producto"
"Product Stock Options","Opciones de existencias de artículo"
"Products will still be shown by direct product URLs.","Los artículos se seguirán mostrando por URL de artículo directa."
"Qty","Cant"
"Qty Increments","Incrementos de cantidad"
"Retrieve stock data","Recuperar datos de existencias"
"Retrieve stock data by product ids","Recuperar los datos de existencias por las ids del producto"
"Rule price","Precio de la regla"
"Set Items' Status to be In Stock When Order is Cancelled","Restablecer las existencias cuando la orden de venta se cancele"
"Stock Options","Opciones de existencias"
"Stock Status","Estado de existencias"
"The maximum quantity allowed for purchase is %s.","La cantidad máxima permitida para la compra es %s."
"The minimum quantity allowed for purchase is %s.","La cantidad mínima permitida para la compra es %s."
"The requested quantity for ""%s"" is not available.","La cantidad requerida para ""%s"" no esta disponible."
"The stock item for Product in option is not valid.","Es estado de existencia para la opción selectada no es válido."
"This product is currently out of stock.","Actualmente este producto esta agotado."
"To Fixed Value","Para valor fijo"
"To Percentage","Para porcentaje"
"Update","Actualizar"
"Update product stock data","Actualizar los datos de existencias de productos"
"Update the Product","Actualizar el artículo"
