"10 minutes","10 minutos"
"15 minutes","15 minutos"
"20 minutes","20 minutos"
"30 minutes","30 minutos"
"5 minutes","5 minutos"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - unidades de tiempo en minutos"
"Daily","Diario"
"Failure History Lifetime","Período de validez del historial de errores"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Para URLs gederadas correctamente durante la ejecución cron asegurece que Web > Secura e Insegura Base URLs esten explícitamente configuradas."
"Generate Schedules Every","Generar programas cada"
"History Cleanup Every","Borrar el historial cada"
"Hourly","Cada hora"
"Invalid callback: %s::%s does not exist","Callback inválida: %s::%s no existe"
"Invalid model/method definition, expecting ""model/class::method"".","Definición de modelo/método inválido, esperado ""model/class::method""."
"Minute Intervals","Intervalos en minutos"
"Missed if Not Run Within","Falla si no se ejecuta dentro de"
"Monthly","Mensual"
"No callbacks found","Ninguna callback encontrada"
"Schedule Ahead for","Programar con anticipación"
"Success History Lifetime","Período de validez del historial de ejecuciones correctas"
"Unable to delete the cron task.","No se puede borrar la tarea programada."
"Weekly","Semanal"
