"%s and greater","%s y mayores"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d artículo(s)</strong> fue(ron) encontrados con el criterio de búsqueda siguiente"
"Advanced Search","Búsqueda avanzada"
"All","Todo"
"Catalog Advanced Search","Búsqueda avanzada de catálogo"
"Catalog Search","Catálogo de búsquedas"
"Don't see what you're looking for?","¿No encuentras lo que buscas?"
"Go","Ir"
"Go to Home Page","Ir a la página de inicio"
"Grid","Parrilla"
"Home","Inicio"
"List","Lista"
"Maximum Query Length","Longitud máxima de consulta"
"Maximum Query Words Count","Máximo Conteo de Palabras por Consulta"
"Minimal Query Length","Longitud mínima de búsqueda"
"Modify your search","Modifique su búsqueda"
"No","No 	"
"No items were found using the following search criteria.","Ningún artículo fue encontrado utilizando el criterio de búsqueda siguiente."
"Popular Search Terms","Términos de búsqueda populares"
"Rebuild Catalog product fulltext search index","Reconstruir catálogo Artículo todo el texto búsqueda índice"
"Relevance","Relevancia"
"Results","Resultados"
"Search","Buscar"
"Search Settings","Ajustes de búsqueda"
"Search Terms","Términos de búsqueda"
"Search Type","Tipo de Búsqueda"
"Search entire store here...","Busque aquí por toda la tienda..."
"Search results for '%s'","Resultados de la búsqueda para '%s'"
"Search results for: '%s'","Resultados de la búsqueda para: '%s'"
"Subscribe to Feed","Suscribirse al Feed"
"There are no search terms available.","No hay términos de búsqueda disponibles."
"Yes","Sí"
"Your search returns no results.","Búsqueda sin resultados."
"up to %s","hasta %s"
