"Action","Acción"
"Add Sitemap","Añadir mapa del sito web"
"Always","Siempre"
"CMS Pages Options","Opciones de páginas de CMS (sistema de gestión de contenidos)"
"Categories Options","Opciones de categorias"
"Daily","Diario"
"Edit Sitemap","Editar mapa del sitio web"
"Enabled","Habilitado"
"Error Email Recipient","Error en el destinatario del mensaje"
"Error Email Sender","Error en el remitente del mensaje"
"Error Email Template","Error en la plantilla del mensaje"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Archivo ""%s"" no puede ser guardado. Asegúrese que el directirio ""%s"" tenga permisos de escritura por el servidor web."
"Filename","Nombre del archivo"
"Frequency","Frecuencia"
"Generate","Generar"
"Generation Settings","Ajuste generacinal"
"Google Sitemap","Mapa de Sitio (Sitemap) de Google"
"Hourly","Cada hora"
"ID","Identificador"
"Last Time Generated","Última Vez que fue denerado"
"Link for Google","Enlace para Google"
"Monthly","Mensual"
"Never","Nunca"
"New Sitemap","Nuevo mapa del sitio web"
"Path","Camino"
"Please create the specified folder ""%s"" before saving the sitemap.","Crear el folder especificado ""%s"" antes de guardar el mapa del sitio por favor."
"Please define correct path","Defina la ruta correcta por favor"
"Please make sure that ""%s"" is writable by web-server.","Asegúrese que ""%s"" tenga permisos de escritura por el servidor web."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Utilizar únicamente letras (a-z o A-Z), números (0-9) o guión bajo (_) en el archivo. Ni espacios u otros caractéres estan permitidos."
"Priority","Prioridad"
"Products Options","Opciones de artículos"
"Sitemap","Mapa de sitio"
"Sitemap generate Warnings","El mapa del sitio web genera avisos"
"Start Time","Hora de inicio"
"Store View","Vista de la tienda"
"The priority must be between 0 and 1.","La prioridad debe de estar entre 0 y 1"
"This sitemap no longer exists.","Este mapa del sitio web ya no existe."
"Weekly","Semanal"
"Yearly","Anualmente"
