"* Required Fields","* Campos obligatorios"
"Admin","Administrar"
"Authorize","Autorizar"
"Callback URL","Llamada URL"
"Cleanup Probability","Probabilidad de limpieza"
"Cleanup Settings","Ajustes de limpieza"
"Close","Cerrar"
"Created At","Creado en"
"Customer","Cliente"
"Delete","Borrar"
"Disable","Desactivar"
"Disabled","Deshabilitada"
"Edit","Editar"
"Email","Correo electrónico"
"Email Address","Dirección de email"
"Enable","Activado"
"Enabled","Habilitado"
"Expiration Period","Periodo de expiración"
"ID","Identificador"
"Invalid Callback URL","Llamada URL inválida"
"Invalid Rejected Callback URL","Llamada URL rechazada inválida"
"Key","Clave"
"Log In","Iniciar sesión"
"Login","Entrar"
"Name","Nombre"
"Password","Contraseña"
"Permissions","Permisos"
"Reject","Rechazar"
"Role Name","Nombre del puesto"
"Save","Guardar"
"Save and Continue Edit","Guardar y continuar editando"
"Status","Estatus"
"System","Sistema"
"User ID","ID de Usuario"
"User Name","Nombre de usuario"
"deleted","eliminado"
