"%s Item(s)","%s ჩანაწერი"
"About the calendar","კალენდრის შესახებ"
"Close Window","ფანჯრის დახურვა"
"Default welcome msg!","მოგესალმებით!"
"Items %s to %s of %s total","პროდუქცია %s-დან %s-მდე (სულ %s)"
"Next","შემდეგი"
"Page:","გვერდი:"
"Previous","წინა"
"Search","ძებნა"
"Show","აჩვენე"
"View All","ყველას ნახვა"
"Welcome, %s!","%s, მოგესალმებით!"
"Your Language","ენა"
"Your Language:","ენა:"
