"Availability:","მარაგი:"
"Canceled","გაუქმდა"
"In stock","საწყობშია"
"Move","გადატანა"
"My Downloadable Products","ციფრული პროდუქტები"
"Order #","შეკვეთის #"
"Pending","მოლოდინში"
"Please log in to download your product.","გთხოვთ შეხვიდეთ თქვენი პროდუქტის ჩამოსატვირთად."
"Remove Item","წაშლა"
"View Order","ნახვა"
"You have not purchased any downloadable products yet.","ჯერ არცერთი ციფრული პროდუქტი არ გიყიდიათ."
