"Add to Cart","კალათაში ჩადება"
"Add to Compare","+ შესადარებლად"
"Add to Wishlist","+ სურვილებში"
"Applied Coupon","გამოყენებული კუპონი"
"Last Review","ბოლო განხილვა"
"Popular Tags","პოპულარული ტაგები"
"Popularity","პოპულარობა"
"Product Name","პროდუქტის დასახელება"
"Product Tags","პროდუქტის ტაგები"
"Recently Compared Products","ბოლოს შედარებული პროდუქტები"
"Recently Viewed Products","ბოლოს ნანახი"
"Recently Viewed/Compared Products","ბოლოს ნანახი/შედარებული პროდუქტები"
"Shopping Cart","სავაჭრო კალათა"
"Your Recently Compared","თქვენი ბოლოს შედარებულები"
