"Continue Shopping","ვაჭრობის გაგძელება"
"Email Sender","ელ.ფოსტის გამგზავნი"
"Thank you for your purchase!","დიდი მადლობა შენაძენისათვის!"
"You will receive an order confirmation email with details of your order and a link to track its progress.","თქვენ მიიღებთ შეკვეთის დამადასტურებელ წერილს თქვენი შეკვეთის დეტალებითა და სტატუსის თვალყურის სადევნებელი ბმულით"
