"Calculate Handling Fee","მიწოდების ფასის გამოთვლა"
"City","ქალაქი"
"Close Window","ფანჯრის დახურვა"
"Flat Rate","ერთიანი განაკვეთი"
"Handling Fee","მიწოდების ფასი"
"Shipping Methods","გაგზავნის მეთოდები"
"There is no tracking available for this shipment.","გზავნილის ტრეკინგი მიუწვდომელია."
"There is no tracking available.","ტრეკინგი მიუწვდომელია."
"ZIP/Postal Code","საფოსტო ინდექსი"
"contact us","დაგვიკავშირდით"
