"Community Poll","გამოკითხვა"
"Save Answer","პასუხის შენახვა"
"Save Poll","გამოკითხვის შენახვა"
"Vote","ხმის მიცემა"
"Votes Count","ხმების რაოდენობა"
"Votes Count:","ხმების რაოდენობა:"
