"Regular Price:","ჩვეულებრივი ფასი:"
"Sign up for price alert","ფასის ცვლილების შეტყობინება"
"Sign up to get notified when this product is back in stock","შეტყბინების მიღება პროდუქტის საწყობში მიღების თაობაზე"
