"%s and greater","%s და მეტი"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d ჩანაწერი</strong> მოიძებნა მიმდინარე ძებნის პარამეტრების გამოყენებით"
"Advanced Search","გაფართოებული ძებნა"
"Catalog Advanced Search","კატალოგის გაფართოებული ძებნა"
"Catalog Search","კატალოგის ძებნა"
"Don't see what you're looking for?","ვერ ნახეთ რასაც ეძებდით?"
"Go","გადასვლა"
"Maximum Query Length","ძებნის სტრიქონის მაქსიმალური სიგრძე"
"Maximum Query Words Count","საძებნ სტრიქონში სიტყვების მაქსიმალური რაოდენობა"
"Minimal Query Length","ძებნის სტრიქონის მინიმალური სიგრძე"
"Modify your search","ძებნის პარამეტრების შეცვლა"
"No items were found using the following search criteria.","ვერაფერი მოიძებნა მიმდინარე ძებნის პარამეტრებით."
"Popular Search Terms","პოპულარული საძიებო ტერმინები"
"Relevance","შესაბამისობა"
"Search","ძებნა"
"Search Settings","ძებნის პარამეტრები"
"Search Type","ძებნის ტიპი"
"Search entire store here...","შეიყვანეთ საძიებო ტექსტი..."
"Search results for '%s'","'%s'-ის ძებნის შედეგები"
"Search results for: '%s'","ძებნის შედეგები: '%s'"
"Subscribe to Feed","არხის გამოწერა"
"There are no search terms available.","საძიებო ტერმინები არ არის."
"Your search returns no results.","თქვენი ძებნა უშედეგოა."
"up to %s","%s-მდე"
