"Add Tags","ტაგების დამატება"
"Add Your Tags:","დაამატეთ თქვენი ტაგები:"
"Add to Cart","კალათაში ჩადება"
"Add to Wishlist","+ სურვილებში"
"Approved","დამოწმებულია"
"Back to Tags List","ტაგების ჩამონათვალზე დაბრუნება"
"Click on a tag to view your corresponding products.","დააჭირეთ ტაგს შესაბამისი პროდუქციის სანახავად."
"My Recent Tags","ჩემი ბოლო ტაგები"
"My Tags","ჩემი ტაგები"
"Other people marked this product with these tags:","სხვა მომხმარებელთა ტაგები:"
"Pending","მოლოდინში"
"Popular","პოპულარული"
"Popular Tags","პოპულარული ტაგები"
"Product Name","პროდუქტის დასახელება"
"Product Tags","პროდუქტის ტაგები"
"Save Tag","ტაგის შენახვა"
"Tags:","ტაგები:"
"Telephone","ტელეფონი"
"Use spaces to separate tags. Use single quotes (') for phrases.","ტაგები შორისით (space) გამოყავით. ფრაზების დასამატებლად ერთმაგი ბრჭყალები (') გამოიყენეთ."
"View All Tags","ყველა ტაგის ნახვა"
"View Customers","მომხმარებლების ნახვა"
"View Products","პროდუქტების ნახვა"
"You have not tagged any products yet.","ჯერ არცერთი პროდუქტი არ დაგიტაგავთ."
"ZIP/Post Code","საფოსტო ინდექსი"
