"%1$s incl tax.","%1$s გადასახადებით."
"* Required Fields","* აუცილებელი ველები"
"As low as","უმცირესი ფასი"
"Buy %1$s for %2$s","იყიდე %1$s ცალი %2$s-ად"
"Buy %1$s for %2$s (%3$s incl. tax) each","შეიძინეთ %1$s ცალი თითო %2$s-ად (%3$s გადასახადებით)"
"Buy %1$s for %2$s each","შეიძინეთ %1$s ცალი თითო %2$s-ად"
"Buy %1$s with %2$s discount each","შეიძინეთ %1$s თითო %2$s ფასდაკლებით"
"Position","მდებარეობა"
"Price Range","ფასის შუალედი"
"Price Type","ფასის ტიპი"
"Qty:","რაოდენობა:"
"Total incl. Tax: %1$s","სულ გად. ჩათვლით: %1$s"
"and","და"
"save","დაზოგეთ"
