"Currency","Ngoại tệ"
"Manage Currency Rates","Quản lý các tỷ giá ngoại tệ"
"Save Currency Symbols","Lưu ký hiệu tiền tệ"
"System","Hệ thống"
"Use Standard","Sử dụng tiêu chuẩn"
