"Active","Kích hoạt"
"Add New Attribute","Thêm thuộc tính"
"Are you sure?","Bạn chắc chứ?"
"Attribute","Thuộc tính"
"Attribute Set","Thiết lập thuộc tính"
"Attributes","Thuộc tính"
"Catalog","Danh mục"
"Confirm","Xác nhận"
"Delete","Xóa bỏ"
"Expires","Hết hạn"
"Items","Sản phẩm"
"Manage Items","Quản lý sản phẩm"
"No","Không"
"Product Name","Tên sản phẩm"
"Remove","Loại bỏ"
"Synchronize","Đồng bộ hóa"
"Yes","Có"
