"* Required Fields","* Bắt buộc"
"Admin","Quản trị"
"Authorize","Ủy quyền"
"Callback URL","URL Gọi lại"
"Cleanup Probability","Khả năng dọn dẹp"
"Cleanup Settings","Thiết đặt dọn dẹp"
"Close","Đóng lại"
"Created At","Đã tạo vào"
"Customer","Khách hàng"
"Delete","Xóa bỏ"
"Disable","Vô hiệu hóa"
"Disabled","Vô hiệu hóa"
"Edit","Chỉnh sửa"
"Email Address","Địa chỉ email"
"Enable","Kích hoạt"
"Enabled","Cho phép"
"Expiration Period","Khoảng thời gian hết hạn"
"Invalid Callback URL","Gọi lại URL không hợp lệ"
"Invalid Rejected Callback URL","URL bị từ chối gọi lại không hợp lệ"
"Key","Từ khoá"
"Login","Đăng nhập"
"Name","Tên"
"Password","Mật khẩu"
"Permissions","Quyền"
"Role Name","Tên vai trò"
"Save","Lưu lại"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Status","Trạng thái"
"System","Hệ thống"
"User ID","ID người dùng"
"User Name","Tên người dùng"
