"Action","Thao tác"
"Delete","Xóa bỏ"
"Description","Mô tả"
"Disable","Vô hiệu hóa"
"Enable","Kích hoạt"
"General","Chung"
"Index Management","Quản lý chỉ mục"
"Mode","Chế độ"
"Never","Không bao giờ"
"No","Không"
"Processing","Đang tiến hành"
"Ready","Sẵn sàng"
"Refresh","Tải lại"
"Status","Trạng thái"
"System","Hệ thống"
"Update on Save","Cập Nhật ngày lưu"
"Updated At","Cập nhật lúc"
"Yes","Có"
