"--Please Select--","--Vui lòng chọn--"
"API Login ID","ID Đăng Nhập qua API"
"Accepted Currency","Tiền Tệ Được Chấp Nhận"
"Authorize.net Direct Post","Phương Thức Thanh Toán Direct Post của Authorize.net"
"Card Verification Number","Số xác minh thẻ"
"Card Verification Number Visual Reference","Hình ảnh xác minh số thẻ"
"Close","Đóng lại"
"Credit Card Information","Thông tin thẻ tín dụng"
"Credit Card Number","Số thẻ tín dụng"
"Credit Card Type","Loại thẻ tín dụng"
"Credit Card Types","Các Loại Thẻ Tín Dụng"
"Credit Card Verification","Xác Minh Thẻ Tín Dụng"
"Debug","Sửa Lỗi"
"Email Customer","Địa Chỉ Email Khách Hàng"
"Enabled","Cho phép"
"Expiration Date","Ngày hết hạn"
"Gateway URL","Đường Dẫn URL của Cổng Thanh Toán"
"Maximum Order Total","Giá Trị Đơn Hàng Tối Đa"
"Merchant MD5","Mã Khóa Merchant MD5"
"Merchant's Email","Địa Chỉ Email Người Bán"
"Minimum Order Total","Giá Trị Đơn Hàng Tối Thiểu"
"New Order Status","Trạng thái đơn hàng mới"
"Payment Action","Hành động thanh toán"
"Payment from Applicable Countries","Thanh Toán từ Các Nước Được Áp Dụng"
"Payment from Specific Countries","Thanh Toán từ Các Nước Cụ Thể"
"Sort Order","Thứ tự sắp xếp"
"Test Mode","Chế độ dùng thử"
"Title","Tiêu đề"
"Transaction Key","Mã Giao Dịch"
"What is this?","Đây là gì?"
