"%1$s incl tax.","%1$s Bao gồm thuế."
"* Required Fields","* Bắt buộc"
"-- Select --","- Chọn -"
"Add New Option","Thêm lựa chọn mới"
"As Low as","Thấp như"
"As low as","Thấp như"
"Bundle Items","Sản phẩm kết hợp"
"Choose a selection...","Chọn một lựa chọn..."
"Click for price","Nhấp vào để xem giá"
"Close","Đóng lại"
"Default","Mặc định"
"Default Qty","Số lượng Mặc định"
"Default Title","Tiêu đề mặc định"
"Dynamic","Năng động"
"Excl. Tax","Chưa bao gồm thuế"
"Fixed","Cố định"
"From","Từ"
"From:","Từ:"
"Gift Message","Tin nhắn quà tặng"
"Incl. Tax","Đã bao gồm thuế"
"Input Type","Loại đầu vào"
"Is Required","Là bắt buộc"
"Message:","Tin nhắn:"
"Multiple Select","Nhiều lựa chọn"
"N/A","Không xác định"
"No options of this product are available.","Lựa chọn sản phẩm không có sẵn."
"None","Không cái nào"
"Percent","Phần trăm"
"Percent Discount","Phần trăm giảm giá"
"Please Select Products to Add","Vui lòng chọn sản phẩm để thêm"
"Please specify product option(s).","Vui lòng xác định tùy chỉnh sản phẩm."
"Position","Vị trí"
"Price Range","Khoảng giá"
"Price Type","Loại giá"
"Qty:","Số lượng:"
"SKU","MÃ SẢN PHẨM"
"Separately","Riêng lẻ"
"Ship Bundle Items","Vận chuyển sản phẩm kết hợp"
"Shipment","Lô hàng"
"Store View Title","Xem tiêu đề cửa hàng"
"To","Đến"
"To:","Đến:"
"Together","Cùng với"
"Use Default Value","Sử dụng giá trị mặc định"
"save","lưu"
