"-- Please Select --","-- Vui lòng chọn --"
"Add to Cart","Thêm vào giỏ hàng"
"Choose an Option...","Chọn một tùy chọn..."
"Enabled","Cho phép"
"General Settings","Thiết lập chung"
"Height","Chiều cao"
"In Stock","Còn hàng"
"Out of Stock","Tạm hết hàng"
"Previous","Trước"
"Remove This Item","Loại bỏ mục này"
"Width","Chiều rộng"
