"Advanced Search","Tìm kiếm nâng cao"
"All","Tất Cả"
"Catalog Advanced Search","Danh mục tìm kiếm nâng cao"
"Catalog Search","Tfm kiếm danh mục"
"Don't see what you're looking for?","Không tìm được những gì bạn đang tìm kiếm?"
"Go to Home Page","Đi đến trang chủ"
"Grid","Lưới"
"Home","Trang chủ"
"List","Danh sách"
"Maximum Query Length","Chiều dài truy vấn tối đa"
"Minimal Query Length","Chiều dài truy vấn tối thiểu"
"No","Không"
"Popular Search Terms","Cụm từ Tìm kiếm phổ biến"
"Rebuild Catalog product fulltext search index","Xây dựng lại các chỉ mục tìm kiếm toàn văn danh mục sản phẩm"
"Relevance","Mức độ liên quan"
"Results","Kết quả"
"Search","Tìm kiếm"
"Search Settings","Cài đặt tìm kiếm"
"Search Terms","Cụm từ tìm kiếm"
"Search entire store here...","Tìm toàn bộ cửa hàng ở đây..."
"There are no search terms available.","Không có cụm từ tìm kiếm có sẵn nào."
"Yes","Có"
