"-- Please Select --","-- Vui lòng chọn --"
"Actions","Thao tác"
"Add Layout Update","Thêm Cập Nhật giao diện"
"All","Tất Cả"
"All Pages","Tất cả các trang"
"All Product Types","Tất cả các loại sản phẩm"
"Anchor Categories","Nhóm Anchor"
"Apply","Áp dụng"
"Assign to Store Views","Gán cho chế độ xem cửa hàng"
"Big Image","Hình ảnh lớn"
"Categories","Nhóm"
"Choose...","Lựa chọn..."
"Close","Đóng lại"
"Continue","Tiếp tục"
"Default Template","Mẫu Mặc định"
"Delete","Xóa bỏ"
"Design Package/Theme","Thiết kế gói/chủ đề"
"Export to:","Xuất khẩu đến:"
"Generic Pages","Trang Chung"
"Images","Hình ảnh"
"Insert Widget","Chèn Widget"
"Layout Updates","Cập Nhật giao diện"
"New Widget Instance","Phiên bản Widget mới"
"Next page","Trang tiếp theo"
"Non-Anchor Categories","Nhóm không có Anchor"
"Not Selected","Không được chọn"
"Open Chooser","Chọn mở"
"Page","Trang"
"Previous page","Trang trước"
"Products","Các sản phẩm"
"Remove Layout Update","Loại bỏ Cập Nhật giao diện"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Select All","Chọn tất cả"
"Select Visible","Chọn hiển thị"
"Settings","Cài đặt"
"Sort Order","Thứ tự sắp xếp"
"Specified Page","Trang được chỉ định"
"Template","Mẫu"
"The information in this tab has been changed.","Thông tin trong tab này đã được thay đổi."
"The widget instance has been deleted.","Phiên bản Widget đã bị xóa."
"The widget instance has been saved.","Phiên bản Widget đã được lưu."
"Thumbnail","Hình ảnh thu nhỏ"
"Type","Loại"
"Unselect All","Bỏ chọn tất cả"
"Unselect Visible","Bỏ chọn hiển thị"
"View","Hiển thị"
"Widget Insertion","Tính năng chèn Widget"
"Widget Options","Tùy chọn tiện ích"
"Widget Type","Loại widget"
"per page","mỗi trang"
