"Access Key","Chìa khóa truy cập"
"Authorize Only","Chỉ ủy quyền"
"Authorize and Capture","Ủy quyền và chấp nhận giao dịch"
"Continue Shopping","Tiếp tục mua sắm"
"Debug","Sửa Lỗi"
"Email Sender","Người gửi Email"
"Enable","Kích hoạt"
"Merchant ID","Mã Nhận Diện Người Bán"
"New Order Status","Trạng thái đơn hàng mới"
"Payment Action","Hành động thanh toán"
"Secret Key","Chìa khóa bí mật"
"Thank you for your purchase!","Cảm ơn bạn đã mua hàng!"
"Title","Tiêu đề"
